IMDb Rank,Movie Title,Year Released,IMDb Rating
95,Eternal Sunshine of the Spotless Mind,2004,8.3
96,Citizen Kane,1941,8.3
97,Capharnaüm,2018,8.3
98,The Hunt,2012,8.3
99,Full Metal Jacket,1987,8.3
100,North by Northwest,1959,8.2
101,A Clockwork Orange,1971,8.2
102,Bicycle Thieves,1948,8.2
103,The Kid,1921,8.2
104,Snatch,2000,8.2
105,Singin' in the Rain,1952,8.2
106,Scarface,1983,8.2
107,Taxi Driver,1976,8.2
108,Amélie,2001,8.2
109,Lawrence of Arabia,1962,8.2
110,The Sting,1973,8.2
111,Toy Story 3,2010,8.2
112,Ikiru,1952,8.2
113,Metropolis,1927,8.2
114,For a Few Dollars More,1965,8.2
115,A Separation,2011,8.2
116,Double Indemnity,1944,8.2
117,The Apartment,1960,8.2
118,Incendies,2010,8.2
119,To Kill a Mockingbird,1962,8.2
120,Indiana Jones and the Last Crusade,1989,8.2
121,Up,2009,8.2
122,L,1997,8.2
123,Heat,1995,8.2
124,Monty Python and the Holy Grail,1975,8.2
125,Die Hard,1988,8.2
126,Rashômon,1950,8.2
127,Yojimbo,1961,8.2
128,Batman Begins,2005,8.2
129,Come and See,1985,8.2
130,Green Book,2018,8.2
131,Children of Heaven,1997,8.2
132,Downfall,2004,8.2
133,Unforgiven,1992,8.2
134,Some Like It Hot,1959,8.2
135,Ran,1985,8.2
136,Howl's Moving Castle,2004,8.2
137,The Great Escape,1963,8.2
138,All About Eve,1950,8.2
139,A Beautiful Mind,2001,8.2
140,Casino,1995,8.2
141,Pan's Labyrinth,2006,8.2
142,The Secret in Their Eyes,2009,8.2
143,My Neighbor Totoro,1988,8.2
144,The Wolf of Wall Street,2013,8.2
145,"Lock, Stock and Two Smoking Barrels",1998,8.2
146,Raging Bull,1980,8.2
147,The Treasure of the Sierra Madre,1948,8.1
148,Judgment at Nuremberg,1961,8.1
149,There Will Be Blood,2007,8.1
150,Babam ve Oglum,2005,8.1
151,"Three Billboards Outside Ebbing, Missouri",2017,8.1
152,The Gold Rush,1925,8.1
153,Dial M for Murder,1954,8.1
154,Chinatown,1974,8.1
155,V for Vendetta,2005,8.1
156,The Seventh Seal,1957,8.1
157,No Country for Old Men,2007,8.1
158,Inside Out,2015,8.1
159,Warrior,2011,8.1
160,Shutter Island,2010,8.1
161,Trainspotting,1996,8.1
162,The Elephant Man,1980,8.1
163,The Sixth Sense,1999,8.1
164,The Thing,1982,8.1
165,Gone with the Wind,1939,8.1
166,Room,2015,8.1
167,Jurassic Park,1993,8.1
168,Wild Strawberries,1957,8.1
169,Blade Runner,1982,8.1
170,The Bridge on the River Kwai,1957,8.1
171,Finding Nemo,2003,8.1
172,Stalker,1979,8.1
173,On the Waterfront,1954,8.1
174,The Third Man,1949,8.1
175,Fargo,1996,8.1
176,The Truman Show,1998,8.1
177,Kill Bill: Vol,2003,8.1
178,Gran Torino,2008,8.1
179,Tokyo Story,1953,8.1
180,The Deer Hunter,1978,8.1
181,Memories of Murder,2003,8.1
182,Relatos salvajes,2014,8.1
183,Klaus,2019,8.1
184,The Bandit,1996,8.1
185,Andhadhun,2018,8.1
186,Mary and Max,2009,8.1
187,The Big Lebowski,1998,8.1
188,In the Name of the Father,1993,8.1
189,Gone Girl,2014,8.1
190,Hacksaw Ridge,2016,8.1
191,The Grand Budapest Hotel,2014,8.1
192,To Be or Not to Be,1942,8.1
193,Ford v Ferrari,2019,8.1
194,Persona,1966,8.1
195,Before Sunrise,1995,8.1
196,Catch Me If You Can,2002,8.1
197,How to Train Your Dragon,2010,8.1
198,The General,1926,8.1
199,Mr,1939,8.1
200,Sherlock Jr,1924,8.1
201,Prisoners,2013,8.1
202,12 Years a Slave,2013,8.1
203,Cool Hand Luke,1967,8.1
204,Mad Max: Fury Road,2015,8.1
205,Barry Lyndon,1975,8.1
206,The Wages of Fear,1953,8.1
207,Network,1976,8.1
208,Stand by Me,1986,8.1
209,Into the Wild,2007,8.1
210,Million Dollar Baby,2004,8.1
211,Monty Python's Life of Brian,1979,8.1
212,Hachi: A Dog's Tale,2009,8.1
213,Ben-Hur,1959,8.1
214,Platoon,1986,8.1
215,Rush,2013,8.1
216,The Passion of Joan of Arc,1928,8.1
217,Logan,2017,8.0
218,Dead Poets Society,1989,8.0
219,Harry Potter and the Deathly Hallows: Part 2,2011,8.0
220,Andrei Rublev,1966,8.0
221,The 400 Blows,1959,8.0
222,Hotel Rwanda,2004,8.0
223,Amores Perros,2000,8.0
224,Rang De Basanti,2006,8.0
225,The Handmaiden,2016,8.0
226,Spotlight,2015,8.0
227,Nausicaä of the Valley of the Wind,1984,8.0
228,Portrait of a Lady on Fire,2019,8.0
229,Rocky,1976,8.0
230,Rebecca,1940,8.0
231,"Monsters, Inc",2001,8.0
232,La Haine,1995,8.0
233,It Happened One Night,1934,8.0
234,Gangs of Wasseypur,2012,8.0
235,In the Mood for Love,2000,8.0
236,Before Sunset,2004,8.0
237,The Princess Bride,1987,8.0
238,The Help,2011,8.0
239,"Paris, Texas",1984,8.0
240,The Invisible Guest,2016,8.0
241,Drishyam,2015,8.0
242,The Terminator,1984,8.0
243,Ace in the Hole,1951,8.0
244,Kis Uykusu,2014,8.0
245,Butch Cassidy and the Sundance Kid,1969,8.0
246,Lagaan: Once Upon a Time in India,2001,8.0
247,Aladdin,1992,8.0
248,Akira,1988,8.0
249,Three Colors: Red,1994,8.0
250,Bhaag milkha bhaag,2013,8.0
